,rv_dt,value,category,rv_seen
466,2023-05-01,91.59,Non Open Resolvers,4923971
467,2023-05-02,91.35,Non Open Resolvers,5553593
468,2023-05-03,91.51,Non Open Resolvers,5618115
469,2023-05-04,91.58,Non Open Resolvers,5328661
470,2023-05-05,91.54,Non Open Resolvers,5262224
471,2023-05-06,91.77,Non Open Resolvers,5307520
472,2023-05-07,92.19,Non Open Resolvers,5153966
473,2023-05-08,91.52,Non Open Resolvers,5392583
474,2023-05-09,92.12,Non Open Resolvers,5422080
475,2023-05-10,91.87,Non Open Resolvers,5347424
476,2023-05-11,91.92,Non Open Resolvers,5314905
477,2023-05-12,91.93,Non Open Resolvers,5328704
478,2023-05-13,92.15,Non Open Resolvers,5316531
479,2023-05-14,92.37,Non Open Resolvers,5375132
480,2023-05-15,91.58,Non Open Resolvers,5382002
481,2023-05-16,91.73,Non Open Resolvers,5390455
482,2023-05-17,91.48,Non Open Resolvers,5195828
483,2023-05-18,91.72,Non Open Resolvers,5269261
484,2023-05-19,91.39,Non Open Resolvers,4807263
485,2023-05-20,91.67,Non Open Resolvers,4466499
486,2023-05-21,91.96,Non Open Resolvers,4383141
487,2023-05-22,90.86,Non Open Resolvers,4456364
488,2023-05-23,91.66,Non Open Resolvers,4542544
489,2023-05-24,91.38,Non Open Resolvers,4454469
490,2023-05-25,90.92,Non Open Resolvers,4477107
491,2023-05-26,91.3,Non Open Resolvers,4490168
492,2023-05-27,91.03,Non Open Resolvers,4363307
493,2023-05-28,91.31,Non Open Resolvers,4332699
494,2023-05-29,91.46,Non Open Resolvers,4650254
495,2023-05-30,90.73,Non Open Resolvers,4355854
496,2023-05-31,90.86,Non Open Resolvers,4158072
497,2023-06-01,91.06,Non Open Resolvers,4392071
498,2023-06-02,91.18,Non Open Resolvers,4766599
499,2023-06-03,91.22,Non Open Resolvers,4468801
500,2023-06-04,91.35,Non Open Resolvers,4486777
501,2023-06-05,91.11,Non Open Resolvers,4534042
502,2023-06-06,91.44,Non Open Resolvers,4490750
503,2023-06-07,91.55,Non Open Resolvers,4509344
504,2023-06-08,91.44,Non Open Resolvers,4931088
505,2023-06-09,92.06,Non Open Resolvers,4298643
506,2023-06-10,91.58,Non Open Resolvers,4497584
507,2023-06-11,91.4,Non Open Resolvers,4041207
508,2023-06-12,91.36,Non Open Resolvers,4375417
509,2023-06-13,91.34,Non Open Resolvers,4387965
510,2023-06-14,90.98,Non Open Resolvers,4439246
511,2023-06-15,91.0,Non Open Resolvers,4468086
512,2023-06-16,90.34,Non Open Resolvers,4145662
513,2023-06-17,90.9,Non Open Resolvers,4102036
514,2023-06-18,91.03,Non Open Resolvers,4295221
